programName,programOriginator,programType,programDistribution,programDescription,creditRequirement,maxDebtToIncome,blocks,neighborhoods,city-town,county,state,amountOfAssistance,limitFirstTimeHomeBuyers,householdIncomeRestrictions,amiLimit,ami,fixedRateMortgagesOnly,mortgageAmountNotToExceed,employerParticipationRequired,mustBePrimaryResidence,mustContributeAmount,mustEarnCounselingCertificate,requiresInspection,eligibilityLimitations,eligible,getStarted,atAGlance,canBeCombined,canBeCombinedWith,participatingLenders,programContact,programLink
Chenoa Fund Down Payment Assistance Loans,CBC Mortgage Agency,,,"While many people do manage to purchase a home by saving for a down payment over a period of years, increasing home prices and stagnant or low wages can make this quite difficult. By helping responsible home buyers to overcome the challenge of the minimum investment required for a mortgage, CBCMA is helping to create healthy communities by improving the balance between home ownership and other types of housing. This way, new homeowners can start now building equity for their future, rather than potentially waiting for years to save a down payment while home prices may become even more unaffordable. CBCMA offers down payment assistance to those who qualify for a 97% LTV conventional first mortgage under Fannie Mae®’s HomeReady® program1 for low to moderate income borrowers, with expanded eligibility for homes in low-income communities. If you do not fit the HomeReady® criteria but may not have the resources for a larger down payment on a home purchase, you may still qualify for the standard conventional 97% loan-to-value program and receive assistance from CBC Mortgage Agency for the down payment and some closing costs.



There are no household income limits under a conventional standard 97% LTV program. You will need to meet minimum credit score of 640 and all other guidelines for the conventional standard 97% LTV or HomeReady® programs. CBCMA’s correspondent guidelines may include additional overlays to the HomeRead® program. 2 *



*Neither the Chenoa fund, CBCMA nor any of their products are approved by or affiliated with Fannie Mae®. It is the originating lender’s responsibility to ensure that the use of CBCMA second mortgages, the CBCMA first mortgage, and the combination of the CBCMA first and second mortgages are compliant with Fannie Mae® requirements.



CBCMA Does Not Originate Mortgage Loans. This is not an offer to lend money nor a solicitation of a mortgage application by CBCMA.



1 HomeReady® is a registered trademark of Fannie Mae.
2 CBCMA’s correspondent guidelines include additional overlays to the HomeReady® program.",,,,,,,,,,,,,,,,,,,,,,,,,,,,https://chenoafund.org/homebuyer/providing-down-payment-assistance-on-fha-and-conventional-loans/
Chenoa Fund DPA Edge: Soft Second product,CBC Mortgage Agency,,Forgivable Second Mortgage,"With this program, you receive a 30-year term, 0% interest rate, no monthly payment, second mortgage. You will need to meet the minimum credit score of 620 and have a qualifying income equal or less than 115% of the median income for the county in which the you will live. The loan is forgiven when you make 36 consecutive on-time payments on the first mortgage.",620,,,,,,,,,,TRUE,1.15,,,,,,,,,,,,,,,,https://chenoafund.org/homebuyer/providing-down-payment-assistance-on-fha-and-conventional-loans/
Chenoa Fund Edge Repayable Second product.,CBC Mortgage Agency,,,"With this program, there are no income limitations. There are two options for a repayable second. You can choose a 10-year repayable second at 0% interest rate or a 30-year repayable second at 5% interest rate. You will need to meet the minimum credit score of 620.",,,,,,,,,,,,,,,,,,,,,,,,,,,,https://chenoafund.org/homebuyer/providing-down-payment-assistance-on-fha-and-conventional-loans/
Chenoa Fund Program,CBC Mortgage Agency,Down Payment & Closing Costs,,"Chenoa Fund Loan Program Quick Facts
0% Down
Minimum Down Payment
660 Credit
Minimum Credit Score
50% DTI
Max Debt-to-Income Ratio
What is the Chenoa Fund Program?
Chenoa Fund is an affordable housing program that allows families that may have little to no disposable income with an option for purchasing a home. When combined with a 30- year FHA first mortgage, qualified borrowers can receive a forgivable or repayable 2nd Mortgage in the form of down payment funds.

What are the benefits and requirements of Chenoa?
This program has the following features:
Provides down payment and closing cost funds
Options up to 5% in forgivable or repayable funds
Who may benefit from Chenoa?
This program may be the right fit for:
Most homebuyers (No first time homebuyer requirement)
Those that need help with their down payment and closing costs",,,,,,,,,,,,,,,,,,,,,,,,,,,,https://reviewmymortgage.com/loan-program/chenoa-fund-loan/?wpv-wpcf-available-in=Maryland
Chenoa Fund Rate Advantage program,CBC Mortgage Agency,,,"With this program, you are able to lock their first mortgage at market comparable rate. You will need to meet the minimum credit score of 640, have a debt to income ratio of 50% or less, and have a qualifying household income less than or equal to 115% of the median income for the county in which you will live.",,,,,,,,,,,,,,,,,,,,,,,,,,,,https://chenoafund.org/homebuyer/providing-down-payment-assistance-on-fha-and-conventional-loans/
Central Baltimore Homebuying Incentive Program,Central Baltimore Partnership,Down Payment & Closing Costs,,"The Central Baltimore Homebuying Incentive Program is intended to attract potential homebuyers to seven Central Baltimore neighborhoods by providing down payment assistance to moderate-to-low income buyers. These neighborhoods include: Old Goucher, Barclay, Charles North, Harwood, Remington, and Greenmount West, as well as East Baltimore Midway. The purpose of this incentive is to maintain income diversity while encouraging potential residents to live closer to their places of employment.",,,,,,,,"$10,000",,TRUE,TRUE,100,TRUE,,,TRUE,,TRUE,,"ou must earn a homeownership counseling certificate before closing on your home
You must live in this home as your primary residence
You must apply and be approved prior to closing on your home. Program funds are not retroactive
Household income cannot exceed 100% AMI
Not limited to first-time homebuyers
Geographic restricitons apply. You must purchase a home within one of the seven Central Baltimore neighborhoods listed above
Fixed-rate mortgage only. Co-signers, cash sales, and owner-financing are not permitted
Loan is due on sale of the property or refinancing of the first mortgage
The home may have up to 4 zone residential units
2-4 unit buyers must have landlord education provided by a HUD-approved organization
Incentive commitments will be valid for 90 days from the date of issuance. Borrowers will need to complete the purchase transaction prior to the commitment’s expiration date in order to secure Central Baltimore Homebuying Incentive financing.
You can not have an ownership interest remaining in another residential property at the time of settlement on the new purchase.
No mixed use properties unless permitted under FHA 203(k) program",Homebuyers who want to buy in the Central Baltimore Partnership area,Complete homeownership counseling and contact Central Baltimore Partnership,"$10,000",TRUE,,,,https://www.centralbaltimore.org/cbhomebuyingincentive/
Energy Savings Loan,CHAI,Second Mortgage,,"Our Energy Savings Loan provides financial resources for homeowners to invest in home renovations that will save energy, lower utility bills and keep housing affordable. This loan is available to homeowners in the Baltimore City neighborhoods of Glen, Fallstaff, Cheswolde, Cross Country and Mt. Washington and in these ZIP Codes in the County: 21208, 21209, 21117, 21133, and 21136.",,,,,,,,,,,,,,,,,,,,,,,,,,,,https://chaibaltimore.org/for-homebuyers-owners/#loans
Home Improvement Loan,CHAI,Second Mortgage,,"Our Home Improvement Loan offers $10,000 to existing residents living in the Baltimore City neighborhoods of Glen, Fallstaff, Cheswolde, Cross Country and Mt. Washington who have lived in their homes for two or more years.",,,,,,,,,,,,,,,,,,,,,,,,,,,,https://chaibaltimore.org/for-homebuyers-owners/#loans
Homebuyer Loan,CHAI,Second Mortgage,,"Our Homebuyer Loan offers up to $15,000 for new home buyers that can be used for interior or exterior renovations. A maximum of $15,000 in Glen and Fallstaff neighborhoods and $10,000 in Cheswolde, Cross Country and Mt. Washington.",,,,,,,,,,,,,,,,,,,,,,,,,,,,https://chaibaltimore.org/for-homebuyers-owners/#loans
DreaMaker Mortgage Program,Chase,3% Down Mortgage,,"The Chase DreaMaker Mortgage Program is designed to help first-time home buyers and borrowers with low-to-moderate incomes afford mortgages and buy homes. The DreaMaker Program enables eligible borrowers to buy a home with a down payment as low as 3.0% of the property purchase price and no minimum borrower contribution. Using the program, borrowers can hold 3% of equity in their home when the mortgage closes without using any of their personal funds to make the down payment. By potentially lowering the amount of money home buyers are required to contribute to purchase a home and making mortgages more attainable, the DreaMaker Mortgage Program reduces the barriers to home ownership for people with limited financial resources.

The Chase DreaMaker Mortgage program competes with government-backed low / no down payment mortgage programs such as the FHA, VA and USDA programs as well as conventional low / no down payment programs such as the Bank of America Affordable Loan Solution, Wells Fargo yourFirst Mortgage and Fannie Mae Home Ready programs. Similar to these other programs, the DreaMaker Program requires a down payment of 3%. The DreaMaker Program offers competitive mortgage rates as compared to conventional programs and potentially lower monthly private mortgage insurance (PMI) fees. Be sure to compare and understand multiple low / no down payment mortgage programs to find the one that best meets your needs.",,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.freeandclear.com/programs/chase-dreamaker-mortgage-program-overview.html
HomeRun Mortgage Program,Citibank,3% Down Mortgage,,"The Citi HomeRun Mortgage Program enables borrowers with low-to-moderate incomes to afford mortgages and buy homes. The HomeRun Mortgage Program enables eligible borrowers to buy a home with a down payment as low as 3.0% of the property purchase price for a single family home, 5.0% for a condo or co-op and 10% for a two unit property. Unlike other low or no down payment mortgage programs, the HomeRun Program requires borrowers to make a minimum personal financial contribution of 1% toward their down payment for a single family home and 5% for a two unit home. The remaining portion of the down payment can come from a gift or down payment assistance program.

One of the key advantages of the Citi HomeRun Program is that borrowers are not required to pay an upfront or ongoing private mortgage insurance (PMI) fee, which reduces their closing costs and total monthly housing expense as compared to similar programs. By reducing the amount of funds borrowers are required to contribute when they purchase a home and making home loans more affordable, the Citi HomeRun Mortgage Program makes home ownership more attainable for borrowers with limited financial resources.

The Citi HomeRun Mortgage program competes with government-backed low / no down payment mortgage programs such as the FHA, VA and USDA programs as well as conventional low / no down payment programs such as the Bank of America Affordable Loan Solution, Chase DreaMaker Program, Wells Fargo yourFirst Mortgage and Fannie Mae Home Ready programs. Although similar to other programs, the Citi HomeRun Program requires a borrower financial contribution of 1% - 5%, depending on the property type, as compared to other programs that require no borrower financial contribution and enable borrowers to pay for 100% of their down payment through a gift or down payment grant. The HomeRun Program, however, offers market mortgage rates that are competitive to conventional programs and requires no PMI fees, which make it more affordable to buy a home. Be sure to review and understand multiple no or low down payment mortgage programs to find the one that best meets your needs.",,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.freeandclear.com/programs/citi-homerun-mortgage-program-overview.html
HomeRun Mortgage,Citibank,3% Down Mortgage,,"ur exclusive, low down payment program created to help make buying a home easier and more affordable.*",,,,,,,,,,,,,,,,,,,,,,,,,,,,https://online.citi.com/US/JRS/portal/template.do?ID=mortgage_community_lending_homerun
College Park City-University Partnership,College Park City-University Partnership,Forgivable Second,,"Made possible through a Community Legacy grant from Maryland’s Department of Housing and Community Development and matching grants from the University of Maryland and City of College Park, the City-University Partnership’s Homeownership Program is part of an effort to increase the number of University of Maryland and City of College Park employees living in the City as outlined in the University District Vision 2020. It provides $15,000, in forgivable loans, to full-time, benefits-eligible University and City employees to become homeowners in the City of College Park–ultimately reducing commutes, strengthening neighborhoods, and supporting our local economy. https://collegeparkpartnership.org/homeownershipprogram/program-details/",,,,,,,,,,,,,,,,,,,,,,,,,,,,https://collegeparkpartnership.org/homeownershipprogram/
CPCUP/Maryland Mortgage Program Partnership,College Park City-University Partnership,Down Payment & Closing Costs,,"The Partnership has partnered with MMP to provide additional down payment assistance, up to $2,500, as part of the MMP community partner match.",,,,,,,,,,,,,,,,,,,,,,,,,,,,https://collegeparkpartnership.org/homeownershipprogram/program-partners/
Mortgage Credit Certificate (MCC),DC Housing Finance Agency,Tax Credit,,"With DCHFA’s Mortgage Credit Certificate (MCC), qualified borrowers have the ability to claim a Federal Tax Credit of 20% of the mortgage interest paid during each calendar year.",,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.dchfa.org/homeownership/available-programs/mcc/?trk_topic=FTHBstate&trk_location=card
Home Purchase Assistance Program (HPAP),DC Housing Finance Agency,Deferred Second Mortgage,,The Home Purchase Assistance Program (“HPAP”) is available to first-time homebuyers purchasing a home located in the District to provide gap financing to assist with necessary funds to purchase. The assistance provides down payment and closing cost assistance in the form of a deferred interest free loan to first-time District homebuyers falling within the very low and moderate income levels.,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.dchfa.org/homeownership/available-programs/hpap/?trk_topic=FTHBstate&trk_location=card
DC Open Doors,DC Housing Finance Agency,Down Payment & Closing Costs,,"DC Open Doors makes homeownership in Washington, D.C. affordable by offering qualified buyers home purchase loans, down payment and closing cost assistance. The program offers deferred repayable loans for a homebuyer’s minimum down payment requirement in addition to below-market interest rates for first trust mortgages for the purchase of a home in the District of Columbia. Qualified first-time and repeat homebuyers are eligible for the program. You can access DC Open Doors by working with one of our participating lenders who offer our mortgage loan products. Our participating lenders handle the entire mortgage loan process from application to settlement.",,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.dchfa.org/homeownership/available-programs/dc-open-doors/?trk_topic=FTHBstate&trk_location=card
Good Neighbor Next Door Program,Department of Housing and Urban Development,,,"Single-family homes, townhouses, or condominiums located in zones designated as revitalization areas can be listed for sale in the program, and are available for purchase for up to seven days.1 The program is designed to attract certain professionals to become part of these neighborhoods.",,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.thebalance.com/good-neighbor-next-door-program-may-help-you-buy-a-home-4775884
HUD’s Good Neighbor Next Door Program,Department of Housing and Urban Development,50% of List Price,,"Though it’s not strictly limited to first-time homebuyers, the Good Neighbor Next Door program from the Department of Housing and Urban Development (HUD) can help you save up to 50% off the list price of a home. Borrowers are required to make a home purchase in an area designated for revitalization to boost specific communities.",,,,,,,,,,,,,,,,,,,,,,,,,,,,https://studentloanhero.com/featured/first-time-homebuyer-grants-programs/#first
American Dream Downpayment Initiative's,Department of Housing and Urban Development,Down Payment & Closing Costs,,"President George W. Bush signed the American Dream Downpayment Initiative (ADDI) on December 16, 2003. The program provides grants to help lower income and minority homebuyers with down payments and closing costs.


President Bush said at the time, “Today we bring many thousands of Americans closer to the great goal of owning a home. The American Dream Downpayment Initiative will help American families to achieve their goals, strengthen our communities, and our entire nation.”",,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.thebalance.com/facts-about-the-american-dream-downpayment-act-1797732
Section 184 Loan Program,Department of Housing and Urban Development,0% Down Mortgage,,"The Department of Housing and Urban Development (HUD) offers the Section 184 Loan Program to enable eligible Native Americans to buy a home with a low down payment and at attractive mortgage rates as compared to conventional mortgage programs. The HUD Section 184 Loan Program was established in 1992 to increase home ownership and improve access to mortgage financing in Native American communities. HUD guarantees 100% of the mortgage amount for Section 184 loans, which protects the lender from losing money in the event that borrowers cannot repay their mortgage. Section 184 Loans are offered through participating Native American tribes through an approved third-party lender, such as a bank, mortgage bank, mortgage broker or credit union. Participating tribes agree to certain program guidelines addressing loan terms, property rights and land access. Because the program is only offered through participating Native American tribes, Section 184 Loans are only available in selected states and counties.

The key benefits of a Section 184 Loan is that you can purchase a home with a down payment as low as 2.25% (for mortgage amounts over $50,000) or 1.25% (for mortgage amounts below $50,000). Section 184 Loans also offer attractive mortgage rates and more flexible borrower qualification requirements, which help more borrowers qualify for mortgages to buy homes. Section 184 Loan mortgage rates are lower because the government, through HUD, insures the loan .",,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.freeandclear.com/programs/section-184-loan-program-overview.html
HUD’s Dollar Homes program,Department of Housing and Urban Development,,,"The HUD Dollar Homes program helps low- to moderate-income buyers purchase a foreclosed home for just $1, plus closing costs. HUD partners with local governments and nonprofits to operate the program.",,,,,,,,,,,,,,,,,,,,,,,,,,,,https://studentloanhero.com/featured/first-time-homebuyer-grants-programs/#first
Standard 97% LTV Loan,Fannie Mae,3% Down Mortgage,,"Fannie Mae, one of the two largest agencies that buy and sell mortgages, offers a conventional homebuying program called the Standard 97% LTV loan through approved lenders. LTV is short for loan-to-value ratio, which is the percentage of a home’s purchase price being financed by a mortgage. A maximum 97% LTV ratio is allowed under this program, which means you’d only need a 3% down payment to cover the rest.

You may be eligible if:

You or a co-borrower are a first-time homebuyer (meaning you haven’t owned a home in the past three years)
One borrower has completed a homeownership education course (if all borrowers are first-timers)
All borrowers have a minimum 620-720 credit score, depending on your debt-to-income (DTI) ratio and down payment contribution",,,,,,,,,,,,,,,,,,,,,,,,,,,,https://studentloanhero.com/featured/first-time-homebuyer-grants-programs/#first
Conventional 3% Down Payment Mortgage Program,Fannie Mae,3% Down Mortgage,,"Fannie Mae offers a conventional mortgage program that allows first-time home buyers to buy a home with a down payment as low as 3.0% of the property purchase price and with no borrower financial contribution. The program is referred to as the Fannie Mae 97% LTV Ratio program because when you make a 3% down payment to buy a home, the loan-to-value (LTV) ratio, or the amount of your mortgage divided by the value of the property, is 97%. Fannie Mae is a government-sponsored enterprise that develops mortgage programs and provides capital to lenders. Fannie Mae's mortgage programs are offered through approved lenders.

Fannie Mae's 3% Down Payment Mortgage Program represents a conventional alternative to government-backed low or no down payment programs such as the FHA, VA and USDA mortgage programs. The 97% LTV Ratio Program is similar to the Fannie Mae HomeReady Mortgage Program but has stricter borrower qualification requirements, does not have a borrower income limit and does not require pre-purchase home buyer counseling.",,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.freeandclear.com/programs/fannie-mae-3-percent-down-payment-mortgage-program-overview.html
HomePath Ready Buyer program,Fannie Mae,Down Payment & Closing Costs,,The HomePath Ready Buyer™ program from Fannie Mae is for first-time homebuyers and provides homebuying assistance for borrowers with their closing costs — covering up to 3% of the home’s purchase price.,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://studentloanhero.com/featured/first-time-homebuyer-grants-programs/#first
HomeReady Loan,Fannie Mae,3% Down Mortgage,,"Another Fannie Mae loan that caters to both repeat and first-time homebuyers is the HomeReady® mortgage. The program is geared toward lower-income buyers, and the minimum required down payment is 3%, which can come from gifts, grants and eligible second mortgages. Unlike the Standard 97% LTV program, there are income limits.",,,,,,,,,,,,,,,,,,,,,,,,,,,,https://studentloanhero.com/featured/first-time-homebuyer-grants-programs/#first
HomeReady Mortgage,Fannie Mae,3% Down Mortgage,,"Fannie Mae offers the HomeReady Mortgage Program to help home buyers with limited resources and alternate sources of income afford mortgages. In short, Fannie Mae is a government-sponsored enterprise that develops mortgage programs and provides capital to lenders. Fannie Mae's mortgage programs are offered through approved lenders. The HomeReady Program replaced Fannie Mae’s MyCommunityMortgage Program and is designed to address the growth in the number of households with “extended-family” living arrangements such as cases where parents live with an adult child who wants to buy a home.

The HomeReady program enables home buyers to buy a home with a down payment as low as 3.0% of the property purchase price and no minimum borrower contribution. The program is similar to Fannie Mae's 97% LTV Mortgage Program but allows a borrower to include non-traditional sources of income which improves the borrower’s ability to qualify for the mortgage or enables the borrower to qualify for a higher mortgage amount. Typically when you apply for a mortgage only the borrower’s income is considered to determine your ability to qualify for a mortgage but with the HomeReady Mortgage Program three additional sources of income are factored into the qualification assessment:

Income from non-occupant borrower. This is income from a parent or relative who is a borrower on the mortgage but does reside in the property. For example, a mother’s income could help a daughter qualify for a mortgage to buy a property that only the daughter will own and live in. Both the mother’s and daughter’s income are included in determining the borrower’s ability to qualify for the mortgage and both are listed as borrowers on the mortgage. Income from a non-occupant borrower is considered qualifying income and is subject to income limits outlined below. Please note that if you use income from a non-occupant borrower to qualify for a HomeReady mortgage you are required to make a down payment of at least 5%, which means your maximum loan-to-value (LTV) ratio is 95%.
Income from boarders. Up to 30% of the income used to determine a borrower’s ability to qualify for the mortgage can come from boarders. For example, if you rent out your basement or a spare room, this rental income can be added to the borrower’s income to determine what size mortgage the borrower qualifies for
Income from non-borrower household member. This is income from a relative who resides in the property but who is not listed on the mortgage. In this case, the income is used to support the borrower's application. For example, if a father lives with his son, the father’s income may be considered by the lender and used to solidify the son's loan application. Please note that income from a non-borrower household member is not added to the applicant's income to determine the applicant's ability to qualify for the mortgage and only the applicant is listed as the borrower on the mortgage. Additionally, the non-borrower household income is not counted against the income limits outlined below.
The HomeReady program also has more flexible borrower qualification requirements especially as it relates to a borrower's credit profile. For example, a borrower with a credit score as low as 620 or with no or limited traditional credit history may be eligible for the program. We discuss qualification guidelines including credit profile guidelines in detail below.",,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.freeandclear.com/programs/homeready-mortgage-overview.html
FHLBank Atlanta Veterans Purchase or Purchase/Rehabilitation Product,Federal Home Loan Bank of Atlanta (FHLBank Atlana),Down Payment & Closing Costs,,"The Veterans Purchase or Purchase/Rehabilitation Product is for homebuyers that are currently serving or have served in any branch of the U.S. military, their spouses, or their surviving spouses. National Guard Reservists are eligible if they have served in active duty or performed services in active duty or were injured in active duty. Eligible properties include owner-occupied 1-4 family properties and manufactured housing.",,,,,,,,"$7,500",,TRUE,TRUE,80,,,,TRUE,,TRUE,,"You must earn a homeownership counseling certificate before closing on your home.
You must live in this home as your primary residence.
You must use a FHLBank Atlanta-appoved lender.
You must apply and be approved prior to closing on your home. Program funds are not retroactive.
Household income cannot exceed 80% AMI
Not limited to first-time homebuyers",Baltimore City homebuyers who meet income and other program requirements,Complete homeownership counseling and contact a FHLBank Atlanta-approved lender,"$7,500",,,,,
FHLBank Atlanta Returning Veterans Purchase or Purchase/Rehabilitation Product,Federal Home Loan Bank of Atlanta (FHLBank Atlana),Down Payment & Closing Costs,,"The Returning Veterans Purchase or Purchase/Rehabilitation Product is for homebuyers that are currently serving or have served in an overseas military intervention or any branch of the U.S. military, their spouses, or their surviving spouses. National Guard Reservists are eligible if they have served in active duty or performed services in active duty or were injured in active duty. Eligible properties include owner-occupied 1-4 family properties and manufactured housing.",,,,,,,,"$10,000",,TRUE,TRUE,80,,,,TRUE,,TRUE,,"You must earn a homeownership counseling certificate before closing on your home.
You must live in this home as your primary residence.
You must use an FHLBank Atlanta-appoved lender.
You must apply and be approved prior to closing on your home. Program funds are not retroactive.
Household income cannot exceed 80% AMI
Not limited to first-time homebuyers",Baltimore City homebuyers who meet income and other program requirements,Complete homeownership counseling and contact a FHLBank Atlanta-approved lender,"$10,000",,,,,
FHLBank Atlanta Foreclosure Recovery Product,Federal Home Loan Bank of Atlanta (FHLBank Atlana),Down Payment & Closing Costs,,"The Foreclosure Recovery Product is provided for the purchase or purchase and rehabilitation of a home. Homes must be part of any Real Estate Owned (REO) inventory of any FHLBank Atlanta member or member’s affiliate or housing associate member. The purchase of a unit cannot exceed the as-is market value. Eligible properties include owner-occupied 1-4 family properties, townhouses, condos, foreclosed properties, cooperatives, and manufactured and mobile housing",,,,,,,,"$15,000",,TRUE,TRUE,80,,,,TRUE,"$1,000",TRUE,,"You must earn a homeownership counseling certificate before closing on your home.
You must live in this home as your primary residence.
You must use an FHLBank Atlanta-approved lender.
You must apply and be approved prior to closing on your home. Program funds are not retroactive.
You must contribute at least $1,000 of your own money to your home purchase.
Household income cannot exceed 80% AMI
Not limited to first-time homebuyers",Baltimore City homebuyers who meet income and other program requirements,Complete homeownership counseling and contact a FHLBank Atlanta-approved lender,"$15,000",,,,,
FHLBank Atlanta Community Partners Product,Federal Home Loan Bank of Atlanta (FHLBank Atlana),Down Payment & Closing Costs,,"The Community Partners Product is provided for the purchase or purchase and rehabilitation of a home. Eligible homebuyers include current or retired law enforcement officers, educators, health care workers, firefighters, and other first responders. Eligible properties include owner-occupied 1-4 family properties and manufactured housing.",,,,,,,,"$7,500",TRUE,TRUE,TRUE,80,,,,TRUE,"$1,000",TRUE,,"You must earn a homeownership counseling certificate before closing on your home.
You must live in this home as your primary residence.
You must use an FHLBank Atlanta-approved lender.
You must apply and be approved prior to closing on your home. Program funds are not retroactive.
You must contribute at least $1,000 of your own money to your home purchase.
Household income cannot exceed 80% AMI
Not limited to first-time homebuyers",Baltimore City homebuyers who meet income and other program requirements,Complete homeownership counseling and contact a FHLBank Atlanta-approved lender,"$7,500",,,,,
FHLBank Atlanta First-Time Homebuyer Product,Federal Home Loan Bank of Atlanta (FHLBank Atlana),Down Payment & Closing Costs,,"The First-Time Homebuyer Product is provided for the purchase or purchase and rehabilitation of a home. Eligible properties include owner-occupied 1-4 family properties, townhouses, condos, foreclosed properties, cooperatives, manufactured and mobile housing, and new construction (within 30 days of closing).",,,,,,,,"$5,000",TRUE,TRUE,TRUE,80,,,,TRUE,"$1,000",TRUE,,"You must earn a homeownership counseling certificate before closing on your home.
You must live in this home as your primary residence.
You must use an FHLBank Atlanta-approved lender.
You must apply and be approved prior to closing on your home. Program funds are not retroactive.
You must contribute at least $1,000 of your own money to your home purchase.
Household income cannot exceed 80% AMI
First-time homebuyers only",Baltimore City homebuyers who meet income and other program requirements,Complete homeownership counseling and contact a FHLBank Atlanta-approved lender,"$5,000",,,,,
FHA Loan,Federal Housing Administration,3.5% Down Mortgage,,"A home loan backed by the Federal Housing Administration (FHA) could be a great fit for first-time homebuyers (and repeat buyers) with less-than-stellar credit and little cash savings. The borrowing requirements for FHA loans aren’t as stringent as those for conventional loans — you just need a minimum 500 credit score to qualify. The downside: You’re required to pay mortgage insurance premiums for the life of your loan unless you put down at least 10%, in which case you can cancel MIP after 11 years.",,,,,,,,,,,,,,,,,,,,,,,,,,,,https://studentloanhero.com/featured/first-time-homebuyer-grants-programs/#first
Community Partners Product,First Home Mortgage,Forgivable Second,,"Maximum loan assistance of $7,500, minimum borrower contribution of $1,000, non-first-time homebuyers are eligible, available to law enforcement officers, educators, health care workers, firefighters and first responders.",,,,,,,,,,,,,,,,,,,,,,,,,"The Special Assistance Grant may be layered with down payment assistance loans or grants, including Partner Match loans.",https://mmp.maryland.gov/Pages/Find-A-Lender.aspx,https://mmp.maryland.gov/Pages/Homebuyer-Education.aspx,
First-Time Homebuyer Product,First Home Mortgage,Forgivable Second,,"Maximum loan assistance of $5,000, minimum borrower contribution of $1,000.",,,,,,,,,,,,,,,,,,,,,,,,,"The Special Assistance Grant may be layered with down payment assistance loans or grants, including Partner Match loans.",https://mmp.maryland.gov/Pages/Find-A-Lender.aspx,https://mmp.maryland.gov/Pages/Homebuyer-Education.aspx,
Veterans Purchase Product,First Home Mortgage,Forgivable Second,,"Maximum loan assistance of $7,500, no minimum borrower contribution, non-first-time homebuyers are eligible, available to homebuyers who are currently serving, or have served in the U.S. military, their spouse or their surviving spouse.",,,,,,,,,,,,,,,,,,,,,,,,,"The Special Assistance Grant may be layered with down payment assistance loans or grants, including Partner Match loans.",https://mmp.maryland.gov/Pages/Find-A-Lender.aspx,https://mmp.maryland.gov/Pages/Homebuyer-Education.aspx,
Home Possible Mortgage,Freddie Mac,3% Down Mortgage,,"Freddie Mac offers the Home Possible Mortgage Program to help home buyers with limited resources afford mortgages. The Home Possible program enables home buyers to buy a home with a down payment as low as 3.0% of the property purchase price and no minimum borrower financial contribution. The Home Possible program is similar to Fannie Mae’s HomeReady Mortgage Program.

Typically when you apply for a mortgage only the borrower’s wage income is considered to determine your ability to qualify for a mortgage but with the Home Possible Mortgage Program rental income is also factored into the qualification assessment. For example if you purchase a single family property and rent out a room, the rental income could help you to qualify for the mortgage. Additionally, if you purchase a multi-unit property, the rental income from the units you do not live in could help you qualify for the mortgage.

Please note that to use rental income to qualify for the mortgage on a single unit property you must verify that you received rental payments for at least nine months over the past year. If you have not received regular rental payments in the past, you may not be able to use rental income that you expect to receive in the future to qualify for the Home Possible program if you want to buy a one unit residence such as a home, condominium or coop.

The Home Possible Program also allows you to use a non-occupant co-borrower to qualify for the mortgage on a single family property. For example, one of your parents can be a co-borrower on your mortgage even if they do not live in the property with you. In this case, their monthly income and debt expense are included in your mortgage application. If he or she has solid income and relatively low debt, having a relative as a co-borrower can enhance your loan application and improve your ability to get approved for the loan.

Important Home Possible Mortgage Program Considerations",,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.freeandclear.com/programs/freddie-mac-home-possible-mortgage-program-overview.html
HomeOne Loan,Freddie Mac,3% Down Mortgage,,"Freddie Mac, the other major agency that buys and sells home loans, offers the HomeOne℠ first-time homebuyer program through approved conventional lenders. There are no income limits, but there is a homebuyer education requirement when all borrowers on the loan are first-timers.",,,,,,,,,,,,,,,,,,,,,,,,,,,,https://studentloanhero.com/featured/first-time-homebuyer-grants-programs/#first
HomeOne Mortgage,Freddie Mac,3% Down Mortgage,,"Freddie Mac’s HomeOne Mortgage Program enables you to buy a home with a 3% down payment and no personal financial contribution. The HomeOne Program is similar to Freddie Mac’s Home Possible program but offers several key advantages for borrowers. First, unlike the Home Possible Program, the HomeOne Program does not apply borrower income limits. This means that all borrowers are eligible to apply for the program regardless of how much money you make. Additionally, the HomeOne Program does not limit where the property being financed is located and property location does not impact your mortgage rates. These features are designed to make the program accessible to more borrowers and easier to use.",,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.freeandclear.com/programs/homeone-mortgage-program.html
